icd,kw
M25.30,"các tổn thương mất vững khác của khớp , nhiều vị trí"
M25.31,"các tổn thương mất vững khác của khớp , vùng bả vai"
M42.04,"viêm xương sụn cột sống thanh thiếu niên , vùng ngực"
M42.05,"viêm xương sụn cột sống thanh thiếu niên , vùng ngực thắt lưng"
M42.06,"viêm xương sụn cột sống thanh thiếu niên , vùng thắt lưng"
M42.07,"viêm xương sụn cột sống thanh thiếu niên , vùng thắt lưng - cùng"
M42.08,"viêm xương sụn cột sống thanh thiếu niên , vùng cùng và cùng cụt"
M42.09,"viêm xương sụn cột sống thanh thiếu niên , vị trí không xác định"
M42.1,hư điểm cốt hóa cột sống người lớn
M42.10,"hư điểm cốt hóa cột sống người lớn , nhiều vị trí cột sống"
M41.89,"các dạng khác của vẹo cột sống , vị trí không xác định"
M41.9,vẹo cột sống không đặc hiệu
M41.90,"vẹo cột sống không đặc hiệu , nhiều vị trí cột sống"
M41.91,"vẹo cột sống không đặc hiệu , vùng chẩm - trục - đội"
M41.92,"vẹo cột sống không đặc hiệu , vùng cổ"
M41.93,"vẹo cột sống không đặc hiệu , vùng cổ lưng"
M41.94,"vẹo cột sống không đặc hiệu , vùng ngực"
M41.95,"vẹo cột sống không đặc hiệu , vùng ngực thắt lưng"
M41.96,"vẹo cột sống không đặc hiệu , vùng thắt lưng"
M41.97,"vẹo cột sống không đặc hiệu , vùng thắt lưng - cùng"
M41.98,"vẹo cột sống không đặc hiệu , vùng cùng và cùng cụt"
M41.99,"vẹo cột sống không đặc hiệu , vị trí không xác định"
M42,viêm xương sụn cột sống
J01.8,viêm đa xoang cấp tính khác
J01.9,"viêm mũi xoang cấp , không đặc hiệu"
J02,viêm họng cấp
J02.0,viêm họng do liên cầu
J02.8,viêm họng cấp do các vi sinh vật xác định khác
J02.9,"viêm họng cấp , không đặc hiệu"
J03,viêm amiđan cấp
J05.0,viêm thanh quản tắc nghẽn cấp ( croup )
J05.1,viêm thanh thiệt cấp
J06,nhiễm trùng đường hô hấp trên cấp ở nhiều và không xác định vị trí
I80.1,viêm tĩnh mạch và viêm tắc tĩnh mạch đùi
I80.2,viêm tĩnh mạch và viêm tắc tĩnh mạch của các tĩnh mạch sâu khác ở chi dưới
J06.0,viêm họng - thanh quản cấp
J06.8,các nhiễm trùng đường hô hấp trên cấp khác ở nhiều vị trí
J06.9,"nhiễm trùng đường hô hấp trên cấp , không xác định"
J09,cúm do virus đã được định danh
J10,cảm cúm do virus cúm mùa đặc hiệu khác
J04.0,viêm thanh quản cấp
J04.1,viêm khí quản cấp
J04.2,viêm thanh khí quản cấp
J05,viêm thanh quản tắc nghẽn cấp ( viêm thanh khí phế quản cấp ) và viêm thanh thiệt cấp
J01.0,viêm xoang hàm cấp tính
J01.1,viêm xoang trán cấp
J01.2,viêm xoang sàng cấp
J01.3,viêm xoang bướm cấp
J01.4,viêm đa xoang cấp tính
J03.8,viêm amiđan cấp tính do các vi sinh vật xác định khác
J03.9,"viêm amiđan cấp , không đặc hiệu"
J04,viêm thanh quản và khí quản cấp
J11.8,"cúm với các biểu hiện khác , virus không được định danh"
J12,"viêm phổi do virus , không phân loại nơi khác"
J12.0,viêm phổi do adenovirus
J12.1,viêm phổi do virus hợp bào hô hấp
J10.0,"cảm cúm với viêm phổi , virus cúm mùa được định danh khác"
J10.1,"cảm cúm với biểu hiện hô hấp khác , virus cúm mùa được định danh khác"
J10.8,"cảm cúm với biểu hiện khác , virus cúm được định danh khác"
J11,"cúm , virus không được định danh"
J11.0,"cúm kèm viêm phổi , virus không được định danh"
J11.1,"cúm với các biểu hiện hô hấp khác , virus không được định danh"
J03.0,viêm amiđan do liên cầu streptococcus
S33.7,bong gân và giãn khớp của các phần không xác định và khác của cột sống thắt lưng và chậu
S34,"tổn thương dây thần kinh và dây sống tại bụng , lưng và vùng chậu"
S49.7,đa tổn thương ở vai và cánh tay trên
S49.8,tổn thương xác định khác ở vai và cánh tay trên
S49.9,tổn thương không xác định ở vai và cánh tay trên
S50,tổn thương nông ở cẳng tay
S48.0,chấn thương đứt lìa khớp vai
S48.1,chấn thương cát cụt tại giữa vai và khuỷu
S48.9,"chấn thương đứt lìa ở vai và cánh tay trên , tầm không xác định"
S49,tổn thương khác và không xác định ở vai và cánh tay trên
S32.7,gãy nhiều xương ở cột sống thắt lưng và khung chậu
S32.70,"gãy nhiều xương ở cột sống thắt lưng và vùng chậu , gãy kín"
S32.71,"gãy nhiều xương ở cột sống thắt lưng và vùng chậu , gãy hở"
S32.8,gãy các phần không xác định và khác của gai thắt lưng và chậu
S32.80,"gãy các phần không xác định và khác của gai thắt lưng và chậu , gãy kín"
S32.81,"gãy các phần không xác định và khác của gai thắt lưng và chậu , gãy hở"
S33,"trật khớp , bong gân và giãn khớp và dây chằng cột sống thắt lưng và chậu"
S31.0,"vết thương hở của lưng dưới và vùng chậu , phần không xác định"
S31.1,vết thương hở của thành bụng
S31.2,vết thương hở của dương vật
S31.3,vết thương hở của bìu và tinh hoàn
S47,tổn thương giập nát vai và cánh tay trên
S48,chấn thương đứt lìa vai và cánh tay trên
S46.8,tổn thương các cơ và gân khác tại vai và cánh tay trên
S46.9,tổn thương cơ và gân không xác định tại vai và cánh tay trên
S50.9,"tổn thương nông cẳng tay , không xác định"
S51,vết thương hở ở cẳng tay
S51.0,vết thương hở ở khuỷu tay
S51.7,đa vết thương hở ở cẳng tay
S50.0,đụng giập ở khuỷu tay
S50.1,đụng giập khác và phần không xác định của cẳng tay
S50.7,nhiều ( đa ) tổn thương nông ở cẳng tay
S50.8,tổn thương khác cẳng tay
S61.1,vết thương hở các ngón tay với tổn thương móng
S61.7,đa vết thương hở ở cổ tay và bàn tay
S61.8,vết thương hở các phần khác của cổ tay và bàn tay
S93.5,bong gân và căng cơ ngón chân
S93.6,bong gân và căng cơ ở phần khác và không xác định của bàn chân
S92.70,"gãy nhiều xương bàn chân , gãy kín"
S92.71,"gãy nhiều xương bàn chân , gãy hở"
S92.9,gãy xương bàn chân không xác định
S93,"trật khớp , bong gân , căng cơ khớp và dây chằng tại tầm cẳng chân và bàn chân"
S93.3,trật khớp phần khác và không xác định tại bàn chân
S93.4,bong gân và căng cơ cổ chân
S94.1,tổn thương dây thần kinh giữa bàn chân
S94.2,tổn thương dây thần kinh mác sâu tại tầm cổ chân và bàn chân
S94.7,tổn thương đa dây thần kinh tại tầm cổ chân và bàn chân
S94.8,tổn thương dây thần kinh khác tại tầm cổ chân và bàn chân
S93.0,trật khớp cổ chân
S93.1,trật khớp ngón chân
S93.2,đứt dây chằng tại tầm cẳng chân và bàn chân
S94.3,tổn thương dây thần kinh cảm giác da tầm cổ chân và bàn chân
S94,tổn thương dây thần kinh tại tầm cổ chân và bàn chân
S94.0,tổn thương dây thần kinh bên bàn chân
S94.9,tổn thương dây thần kinh không xác định tại tầm cổ chân và bàn chân
S95,tổn thương mạch máu tại tầm cổ chân và bàn chân
T34.4,tổn thương do cóng lạnh với hoại tử mô tại cánh tay
T34.5,tổn thương do cóng lạnh với hoại tử mô tại cổ tay và bàn tay
T34.6,tổn thương do cóng lạnh với hoại tử mô tại hông và đùi
T70.1,viêm xoang do chấn thương khí áp
T70.2,tác dụng khác và không xác định của độ cao
T70.3,bệnh do thùng lặn ( bệnh lý do giảm áp )
T70.4,tác động của áp lực dịch cao
T70.8,tác động khác của áp lực khí và áp lực nước
T78.0,sốc phản vệ do phản ứng phụ của thực phẩm
T78.1,"phản ứng phụ khác của thực phẩm , không phân loại nơi khác"
T78.2,"sốc phản vệ , không xác định"
T78.3,phù nề do rối loạn thần kinh huyết quản
T78.4,dị ứng không xác định
T70.9,tác động áp lực khí và áp lực nước không xác định
T71,ngạt thở
T73,tác động của các thiếu hụt khác
T73.0,tác động của đói
T73.1,tác động của khát
T73.2,kiệt sức do phơi nhiễm
T73.3,kiệt sức do cố gắng quá sức
T73.8,tác động khác của thiếu hụt
T75.3,chứng say tàu xe
T75.4,tác động của dòng điện
T75.8,tác động xác định khác của nguyên nhân ngoại sinh khác
T76,các tác dụng không xác định của nguyên nhân ngoại sinh
T78,"tác dụng phụ , không phân loại nơi khác"
T73.9,tác dụng thiếu hụt không xác định
T74,hội chứng đối xử sai trái
T74.0,sao nhãng hoặc từ bỏ
T74.1,lạm dụng thể lực
T74.2,lạm dụng tình dục
T74.3,lạm dụng tâm lý học
T74.8,hội chứng đối xử sai trái khác
T74.9,"hội chứng đối xử sai trái , không xác định"
T75,tác động của các nguyên nhân ngoại sinh khác
T75.0,tác động của tia chớp sét
T75.1,đuối nước và ngập nước không chết
T75.2,tác động của chấn động
T78.8,"tác dụng phụ khác , không phân loại nơi khác"
T78.9,tác dụng phụ không xác định
T79,"một số biến chứng sớm của chấn thương , không phân loại nơi khác"
T79.0,thuyên tắc mạch do khí ( sau chấn thương )
T69.9,"tác dụng hạ nhiệt , không xác định"
T70,tác động của áp lực không khí và áp lực nước
T70.0,viêm tai do chấn thương khí áp
T27.7,"ăn mòn đường hô hấp , phần không xác định"
T28,bỏng và ăn mòn nội tạng khác
T28.0,bỏng tại miệng và hầu họng
T28.1,bỏng tại thực quản
T28.2,bỏng tại phần khác của đường tiêu hóa
T56.7,nhiễm độc beryllium và hợp chất của beryllium
T56.8,nhiễm độc kim loại khác
T56.9,nhiễm độc kim loại không xác định
T57,ngộ độc chất vô cơ
T57.0,nhiễm độc arsen và hợp chất của arsen
T57.1,nhiễm độc phospho và hợp chất của phospho
T56.4,nhiễm độc đồng và hợp chất của đồng
T56.5,nhiễm độc kẽm và hợp chất của kẽm
T56.6,nhiễm độc thiếc và hợp chất của thiếc
T60.0,nhiễm độc thuốc diệt côn trùng phosphat hữu cơ và carbamat
T60.1,nhiễm độc thuốc diệt côn trùng halogen
T60.2,nhiễm độc thuốc diệt côn trùng khác và không xác định
T60.3,nhiễm độc thuốc diệt cỏ và thuốc diệt nấm
T56.0,nhiễm độc chì và hợp chất của chì
T56.1,nhiễm độc thủy ngân và hợp chất của thủy ngân
T56.2,nhiễm độc crôm và hợp chất của crom
T56.3,nhiễm độc dadmi và hợp chất của dadmi
T60.4,nhiễm độc thuốc diệt chuột
T60.8,nhiễm độc thuốc trừ sâu khác
T60.9,nhiễm độc thuốc trừ sâu không xác định
T61,ngộ độc các chất độc do ăn đồ biển
T61.0,nhiễm độc cá ciguatera
T61.1,nhiễm độc cá scombroid
T61.2,nhiễm độc cá khác và sò ốc
T61.8,nhiễm độc hải sản khác
T61.9,nhiễm độc hải sản không xác định
T62,ngộ độc chất độc do ăn thực phẩm
T62.0,ngộ độ do ăn nấm
T62.1,ngộ độc do ăn quả dâu
T59.4,nhiễm độc hơi chlorin
T59.5,nhiễm độc hơi fluorin và hydrogen fluorid
T59.6,nhiễm độc hydrogen sulfid
T59.7,nhiễm độc carbon dioxid ( co2 )
T59.8,"nhiễm độc khí , khói hơi xác định khác"
T59.9,"nhiễm độc khí , khói hơi không xác định"
T60,ngộ độc thuốc trừ sâu
T57.9,"nhiễm độc chất vô cơ , không xác định"
T58,ngộ độc carbon monoxide
T59,"ngộ độc khí khác , khói và hơi"
T59.0,nhiễm độc nitrogen oxid
T59.1,nhiễm độc sulfur dioxid
T59.2,nhiễm độc formaldehyd
T59.3,nhiễm độc hơi lacrimogenic
T57.2,nhiễm độc mangan và hợp chất của manganes
T57.3,"nhiễm độc toxic effect , hydrogen cyanide"
T57.8,nhiễm độc chất vô cơ xác định khác
T26,bỏng và ăn mòn giới hạn tại mắt và phần phụ của mắt
T26.0,bỏng tại mi mắt và vùng quanh nhãn cầu
T34.1,tổn thương do cóng lạnh với hoại tử mô tại cổ
T34.2,tổn thương do cóng lạnh với hoại tử mô tại ngực
T34.3,"tổn thương do cóng lạnh với hoại tử mô tại thành bụng , lưng dưới và khung chậu"
T52.3,nhiễm độc glycol
T52.4,nhiễm độc keton
T52.8,nhiễm độc dung môi hữu cơ khác
T52.9,nhiễm độc dung môi hữu cơ không xác định
T53,ngộ độc dẫn xuất halogen của hydrocarbon béo và thơm
T54.9,"nhiễm độc chất ăn mòn , không xác định"
T55,tác dụng độc của xà phòng và chất giặt tẩy
T56,ngộ độc kim loại
T50.1,ngộ độc thuốc lợi niệu quai tiểu quản thận
T50.2,"ngộ độc thuốc ức chế anhydrase carbonic , benzothladiazid và lợi tiểu khác"
T50.3,"ngộ độc thuốc cân bằng nước , điện giải và nhiệt lượng"
T50.4,ngộ độc thuốc tác động chuyển hóa acid uric
T50.5,ngộ độc thuốc giảm ngon miệng
T50.6,"ngộ độc thuốc giải độc và tác nhân giải độc , không phân loại nơi khác"
T50.7,ngộ độc thuốc hồi sức và đối kháng cảm thụ opioid
T50.8,ngộ độc thuốc chẩn đoán
T54,ngộ độc chất ăn mòn
T54.0,nhiễm độc phenol và chất đồng đẳng của phenol
T54.1,nhiễm độc hợp chất hữu cơ ăn mòn khác
T54.2,nhiễm độc acid ăn mòn và chất giống acid
T54.3,nhiễm độc kiềm ăn mòn và chất giống kiềm
T53.0,nhiễm độc carbon tetrachlorid
T53.1,nhiễm độc chloroform
T53.2,nhiễm độc trichloroethylene
T53.3,nhiễm độc tetrachloroethylen
T53.4,nhiễm độc dichloromethan
T51.8,nhiễm độc cồn khác
T51.9,nhiễm độc cồn không xác định
T52,ngộ độc dung môi hữu cơ
T52.0,nhiễm độc sản phẩm dầu hỏa
T52.1,nhiễm độc benzen
T52.2,nhiễm độc chất đồng đẳng của benzen
T53.5,nhiễm độc chlorofluorocarbon
T53.6,nhiễm độc dẫn xuất halogen của hydrocarbon béo
T53.7,nhiễm độc dẫn xuất halogen của hydrocarbon thơm
T53.9,nhiễm độc dẫn xuất halogen của hydrocarbon béo và hydrocarbon thơm không xác định
T49.6,"ngộ độc thuốc và chế phẩm điều trị tai , mũi , họng"
T49.7,ngộ độc thuốc nha khoa bôi tại chỗ
T49.8,ngộ độc thuốc dùng tại chỗ khác
T49.9,"ngộ độc thuốc dùng tại chỗ , không xác định"
T50,"ngộ độc do thuốc lợi tiểu và thuốc , dược phẩm và chất sinh học khác và không xác định"
T50.0,ngộ độc thuốc mineralocorticoid và chất đối kháng
T33.3,"tổn thương nông do cóng lạnh tại thành bụng , lưng dưới và khung chậu"
T33.4,tổn thương nông do cóng lạnh tại cánh tay
T33.5,tổn thương nông do cóng lạnh tại cổ tay và bàn tay
T31.6,bỏng tổn thương 60 - 69 bề mặt cơ thể
T31.7,bỏng tổn thương 70 - 79 bề mặt cơ thể
T31.8,bỏng tổn thương 80 - 89 bề mặt cơ thể
T31.9,"bỏng tổn thương 90 hoặc hơn , bề mặt cơ thể"
T32,ăn mòn phân loại theo diện tích bề mặt cơ thể bị tổn thương
T32.0,ăn mòn tổn thương ít hơn 10 bề mặt cơ thể
T32.1,ăn mòn tổn thương 10 - 19 bề mặt cơ thể
T32.2,ăn mòn tổn thương 20 - 29 bề mặt cơ thể
T32.3,ăn mòn tổn thương 30 - 39 bề mặt cơ thể
T32.4,ăn mòn tổn thương 40 - 49 bề mặt cơ thể
T33.6,tổn thương nông do cóng lạnh tại hông và đùi
T33.7,tổn thương nông do cóng lạnh tại đầu gối và cẳng chân
T26.4,"bỏng tại mắt và phần phụ của mắt , phần không xác định"
T26.5,ăn mòn tại mi mắt và vùng quanh nhãn cầu
T26.6,ăn mòn tại giác mạc và kết mạc
T37.9,ngộ độc thuốc chống nhiễm trùng và ký sinh trùng khác dùng toàn thân không xác định
T38,"ngộ độc do nội tiết và chất tổng hợp thay thế và chất đối kháng , không phân loại nơi khác"
T38.0,ngộ độc glucocorticoid và chất tổng hợp tương tự
T38.1,ngộ độc hormon tuyến giáp và chất thay thế
T33.8,tổn thương nông do cóng lạnh tại cổ chân và bàn chân
T33.9,tổn thương nông do cóng lạnh tại vị trí khác và không xác định
T34,tổn thương do cóng lạnh với hoại tử mô
T34.0,tổn thương do cóng lạnh với hoại tử mô tại đầu
T35.2,tổn thương do cóng lạnh không xác định tại đầu và cổ
T35.3,"tổn thương do cóng lạnh không xác định tại ngực , bụng , lưng dưới và khung chậu"
T35.4,tổn thương do cóng lạnh không xác định tại chi trên
T35.5,tổn thương do cóng lạnh không xác định tại chi dưới
T35.6,tổn thương do cóng lạnh không xác định tác động nhiều vùng cơ thể
T35.7,tổn thương do cóng lạnh không xác định tại vị trí không xác định
T36,ngộ độc do dùng kháng sinh toàn thân
T36.0,ngộ độc kháng sinh penicillin
T36.1,ngộ độc kháng sinh cefalosporin và kháng sinh beta - lactam khác
T36.2,ngộ độc kháng sinh nhóm chloramphenicol
T36.3,ngộ độc kháng sinh macrolid
T36.4,ngộ độc kháng sinh tetracyclin
T36.5,ngộ độc kháng sinh aminoglycosid
T36.6,ngộ độc kháng sinh rifamycin
T36.7,ngộ độc kháng sinh chống nấm toàn thân
T36.8,ngộ độc kháng sinh toàn thân khác
T36.9,ngộ độc kháng sinh toàn thân không xác định
T37,ngộ độc do chất chống nhiễm trùng và chống ký sinh trùng khác dùng toàn thân
T37.0,ngộ độc sulfonamid
T37.1,ngộ độc thuốc chống mycobacterial
T37.2,ngộ độc thuốc chống sốt rét và thuốc tác động trên đơn bào máu khác
T37.3,ngộ độc thuốc chống đơn bào khác
T37.4,ngộ độc thuốc chống giun sán
T37.5,ngộ độc thuốc chống virus
T37.8,ngộ độc thuốc chống nhiễm trùng và chống ký sinh trùng khác dùng toàn thân đã xác định
T28.3,bỏng tại phần trong của đường tiết niệu sinh dục
T28.4,bỏng nơi khác và các nội tạng không xác định
T28.5,ăn mòn tại miệng và hầu họng
T34.7,tổn thương do cóng lạnh với hoại tử mô tại đầu gối và cẳng chân
T34.8,tổn thương do cóng lạnh với hoại tử mô cổ chân và bàn chân
T38.2,ngộ độc thuốc kháng giáp
T38.3,ngộ độc insulin và thuốc hạ đường huyết uống ( chống đái tháo đường )
T38.4,ngộ độc thuốc tránh thai uống
T38.5,ngộ độc estrogen và progestogen khác
T38.6,"ngộ độc thuốc kháng gonadotrophin , kháng estrogen , kháng androgen , không phân loại nơi khác"
T38.7,ngộ độc androgen và sản phẩm đồng hóa tương tự
T42.0,ngộ độc do dẫn xuất hydantoin
T42.1,ngộ độc do iminostilben
T42.2,ngộ độc do succinimid và oxazolidinedion
T42.3,ngộ độc barbiturat
T42.4,ngộ độc benzodiazepin
T42.5,"ngộ độc hỗn hợp chống động kinh , không phân loại nơi khác"
T42.6,ngộ độc thuốc chống động kinh an thần gây ngủ khác
T42.7,"ngộ độc thuốc chống động kinh , an thần gây ngủ , không xác định"
T42.8,ngộ độc thuốc chống hội chứng parkinson và thuốc ức chế trương lực cơ trung tâm khác
T43,"ngộ độc do thuốc hướng tâm thần , không phân loại nơi khác"
T43.0,ngộ độc thuốc chống trầm cảm ba vòng và bốn vòng
T43.1,ngộ độc thuốc chống trầm cảm nhóm ức chế men imao
T43.2,ngộ độc thuốc chống trầm cảm khác và không xác định
T43.3,ngộ độc thuốc phenothiazin thuốc tâm thần và an thần
T40.2,ngộ độc thuốc có thuốc phiện khác
T40.3,ngộ độc methadon
T40.4,ngộ độc thuốc gây nghiện tổng hợp khác
T40.5,ngộ độc cocain
T40.6,ngộ độc thuốc gây nghiện khác và không xác định
T40.7,ngộ độc cannabis ( dẫn xuất )
T38.8,ngộ độc hormon và chất tổng hợp thay thế khác và không xác định
T38.9,ngộ độc hormon đối kháng và không xác định
T39,"ngộ độc do thuốc giảm đau không opioid , hạ nhiệt và chống thấp khớp"
T39.0,ngộ độc salicylat
T39.1,ngộ độc chất dẫn xuất 4 - aminophenol
T39.2,ngộ độc chất dẫn xuất pyrazolone
T40.8,ngộ độc lysergid ( lsd )
T40.9,ngộ độc thuốc gây ảo giác ( sinh ảo giác ) khác và không xác định
T41,ngộ độc do gây tê và khí điều trị
T41.0,ngộ độc do gây mê đường thở
T39.3,ngộ độc thuốc chống viêm không steroid ( nsaid ) khác
T39.4,"ngộ độc thuốc chống thấp khớp , không phân loại nơi khác"
T39.8,"ngộ độc thuốc giảm đau không opioid hạ nhiệt khác , không phân loại nơi khác"
T39.9,"ngộ độc thuốc giảm đau không opioid , hạ nhiệt và chống thấp khớp không xác định"
T40,ngộ độc thuốc gây nghiện và thuốc hướng tâm thần ( thuốc gây ảo giác )
T40.0,ngộ độc opium ( thuốc phiện )
T40.1,ngộ độc heroin
T41.1,ngộ độc do gây mê đường tĩnh mạch
T41.2,ngộ độc do gây mê toàn thân khác và không xác định
T41.3,ngộ độc do gây mê tại chỗ
T41.4,"ngộ độc do gây mê , không xác định"
T41.5,ngộ độc do khí trị liệu
T42,"ngộ độc do thuốc động kinh , an thần - gây ngủ và chống hội chứng parkinson"
T50.9,"ngộ độc thuốc , dược phẩm và chất sinh học khác khác và không xác định"
T51,ngộ độc cồn
T51.0,nhiễm độc ethanol
T51.1,nhiễm độc methanol
T51.2,nhiễm độc 2 - propanol
T51.3,nhiễm độc dầu fusel ( dầu rượu tạp )
T63.6,tác dụng độc do tiếp xúc với động vật biển khác
T63.8,tác dụng độc do tiếp xúc với xúc vật tiết nọc độc khác
T63.9,ngộ độc do tiếp xúc vật tiết nọc độc không xác định
T64,ngộ độc do thực phẩm nhiễm aflatoxin và độc tố nấm khác
T65,ngộ độc do chất khác và không xác định
T65.0,nhiễm độc cyanid
T65.1,nhiễm độc strychnin và muối của nó
T65.2,nhiễm độc thuốc lá và nicotin
T65.3,nhiễm độc dẫn xuất nitro và amino của benzen và chất đồng đẳng
T65.4,nhiễm độc carbon disulfid
T65.5,nhiễm độc nitroglycerin và acid nitric và ester khác
T65.6,"nhiễm độc sơn và thuốc nhuộm , không phân loại nơi khác"
T65.8,nhiễm độc các chất xác định khác
T65.9,nhiễm độc các chất không xác định
T66,tác dụng không xác định của tia xạ
T67,tác dụng do nhiệt và ánh sáng
T67.3,"suy kiệt do nhiệt , giảm tiết mồ hôi"
T67.4,suy kiệt do nhiệt bởi mất muối
T67.5,"suy kiệt do nhiệt , không xác định"
T67.6,"mệt do nhiệt , nhất thời"
T67.7,phù do nhiệt
T67.8,tác động khác của nhiệt và ánh sáng
T67.9,"tác động nhiệt và ánh sáng , không xác định"
T68,hạ thân nhiệt
T69,tác dụng khác của giảm nhiệt độ
T63.1,nhiễm độc nọc độc của loài bò sát khác
T63.2,nhiễm độc nọc độc của bọ cạp
T63.3,nhiễm độc nọc độc nhện
T63.4,nhiễm độc nọc độc của các tiết túc khác
T63.5,tác dụng độc do tiếp xúc cá
T69.0,ngâm nước bàn tay và bàn chân
T69.1,bệnh cước
T69.8,tác dụng xác định khác của hạ nhiệt
T67.0,đột quỵ do nhiệt và say nắng
T67.1,ngất do nhiệt
T67.2,chuột rút do nhiệt
T62.2,ngộ độc do ăn ( một phần ) các cây khác
T62.8,ngộ độc do ăn chất độc khác đã xác định như thực phẩm
T62.9,"ngộ độc do ăn chất độc như thực phẩm , không xác định"
T63,ngộ độc do tiếp xúc với động vật tiết nọc độc
T63.0,nhiễm độc nọc độc rắn ( rắn cắn )
T34.9,tổn thương do cóng lạnh với hoại tử mô tại vị trí khác và không xác định
T35,tổn thương do cóng lạnh tác động nhiều vùng cơ thể và không xác định
T35.0,tổn thương do cóng lạnh tác động nhiều vùng cơ thể
T35.1,tổn thương do cóng lạnh với hoại tử mô tác động nhiều vùng cơ thể
T45.9,ngộ độc thuốc dùng chủ yếu toàn thân và huyết học không xác định
T46,ngộ độc do thuốc tác động chủ yếu hệ thống tim mạch
T46.0,ngộ độc glycosid kích thích tim và thuốc tác dụng tương tự
T46.1,ngộ độc thuốc chẹn calci
T47,ngộ độc do thuốc tác động chủ yếu trên hệ thống tiêu hóa
T47.0,ngộ độc chất đối kháng thụ cảm histamin h2
T47.1,ngộ độc thuốc chống acid và chống tiết dịch vị khác
T47.2,ngộ độc thuốc kích thích nhuận tràng
T47.3,ngộ độc thuốc nhuận tràng thẩm thấu và muối
T47.4,ngộ độc thuốc nhuận tràng khác
T47.5,ngộ độc thuốc lợi tiêu hóa
T43.4,ngộ độc thuốc an thần butyrophenon và thioxanthen
T43.5,ngộ độc thuốc tâm thần và an thần khác và không xác định
T43.6,ngộ độc thuốc kích thích tâm thần có khả năng lạm dụng thuốc
T43.8,"ngộ độc thuốc tâm thần khác , không phân loại nơi khác"
T43.9,"ngộ độc thuốc hướng tâm thần , không xác định"
T44,ngộ độc do thuốc tác động chủ yếu hệ thần kinh tự chủ
T44.0,ngộ độc thuốc kháng cholinesterase
T44.1,ngộ độc thuốc giống phó giao cảm khác ( cholinergics )
T49.2,ngộ độc thuốc làm săn da tại chỗ và thuốc sát trùng tại chỗ
T49.3,"ngộ độc thuốc làm mềm da , làm dịu da và bảo vệ da"
T49.4,"ngộ độc thuốc làm tróc lớp sừng , tạo hình lớp sừng và thuốc và các chế phẩm điều trị tóc khác"
T49.5,ngộ độc thuốc và chế phẩm điều trị mắt
T44.2,"ngộ độc thuốc chẹn hạch , không phân loại nơi khác"
T44.3,"ngộ độc thuốc hủy phó giao cảm ( chống tiết cholin và chống ngộ độc muscarinin ) và giảm co cứng , không phân loại nơi khác"
T44.4,"ngộ độc chủ yếu đối kháng - receptor alpha - adrenalin , không phân loại nơi khác"
T44.5,"ngộ độc thuốc chủ yếu đối kháng receptor beta - adrenalin , không phân loại nơi khác"
T44.6,"ngộ độc thuốc đối kháng receptor alpha adrenalin , không phân loại nơi khác"
T44.7,"ngộ độc thuốc đối kháng receptor beta - adrenalin , không phân loại nơi khác"
T44.8,"ngộ độc thuốc tác động trung tâm và thuốc chẹn thần kinh gây tiết adrenalin , không phân loại nơi khác"
T44.9,ngộ độc thuốc tác động chủ yếu hệ thần kinh tự chủ khác và không xác định
T45,"ngộ độc do thuốc chủ yếu toàn thân và huyết học , không phân loại nơi khác"
T45.0,ngộ độc thuốc chống nôn và chống dị ứng
T46.2,"ngộ độc thuốc chống loạn nhịp khác , không phân loại nơi khác"
T46.3,"ngộ độc thuốc giãn động mạch vành , không phân loại nơi khác"
T46.4,ngộ độc thuốc ức chế men chuyển đổi angiotensin
T46.5,"ngộ độc thuốc hạ huyết áp khác , không phân loại nơi khác"
T46.6,ngộ độc thuốc hạ lipid máu và chống xơ cứng động mạch
T46.7,ngộ độc thuốc giãn động mạch ngoại vi
T46.8,"ngộ độc thuốc chống giãn tĩnh mạch , kể cả thuốc xơ cứng"
T46.9,ngộ độc thuốc tác động chủ yếu hệ thống tim mạch khác và không xác định
T48.2,ngộ độc thuốc chủ yếu tác động trên cơ khác và không xác định
T48.3,ngộ độc thuốc chống ho
T48.4,ngộ độc thuốc long đờm
T48.5,ngộ độc thuốc chống cảm lạnh
T48.6,"ngộ độc thuốc trị hen , không phân loại nơi khác"
T48.7,ngộ độc thuốc tác động chủ yếu trên hệ hô hấp khác và không xác định
T49,"ngộ độc do thuốc dùng tại chỗ tác động chủ yếu trên da và niêm mạc và do thuốc dùng chữa mắt , tai và răng"
T49.0,"ngộ độc thuốc chống nấm , chống nhiễm trùng , chống viêm tại chỗ , không phân loại khác"
T49.1,ngộ độc thuốc chống ngứa
T45.1,ngộ độc thuốc chống ung thư và thuốc ức chế miễn dịch
T45.2,"ngộ độc vitamin , không phân loại nơi khác"
T45.3,"ngộ độc các enzym , không phân loại nơi khác"
T45.4,ngộ độc sắt và thành phẩm
T45.5,ngộ độc thuốc chống đông máu
T45.6,ngộ độc thuốc tác động phân hủy fibrin
T45.7,"ngộ độc thuốc đối kháng chống đông máu , vitamin k , chống đông máu khác"
T45.8,ngộ độc thuốc dùng chủ yếu toàn thân và huyết học khác
T47.6,ngộ độc thuốc chống tiêu chảy
T47.7,ngộ độc chất gây nôn
T47.8,ngộ độc thuốc khác tác động chủ yếu trên hệ thống tiêu hóa
T47.9,"ngộ độc thuốc tác động chủ yếu trên hệ thống tiêu hóa , không xác định"
